MP Name,Constituency,State,House,Allocated Amount (₹),Amount Recommended (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Balance Not Yet Paid to Vendors (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating,num_vendors,num_transactions,total_expenditure_ledger,top_vendor,top_vendor_share_pct,vendor_hhi,round_amount_txn_pct,payment_inprogress_pct,same_day_same_vendor_clusters,completed_count,avg_cost_zscore,high_cost_outlier_count,no_image_pct,no_rating_pct,round_amount_pct,max_desc_repeat,max_amount_repeat,pending_payment_ratio,util_completion_gap,unpaid_balance_pct,rule_score_raw,ml_anomaly_score,rule_score_scaled,risk_score,risk_level,reasons_text,checklist_text
VISHWESHWAR HEGDE KAGERI,UTTARA KANNADA,Karnataka,Lok Sabha,147000000.0,96600000.0,34850000.0,65.71,30,143,20.98,61750000.0,85,82,3,,2.0,85.0,34850000.0,ZILLA NIRMITi KENDRA,94.19,89.05,67.06,3.53,18.0,30.0,0.14930806316902653,0.0,83.33,100.0,93.33,1.0,15.0,3.5294117647058822,44.72999999999999,177.18794835007174,82,68.8,100.0,87.5,High,Funds utilization (66%) is far ahead of physical completion (21%) — a gap of 45 points. | Vendor concentration is high (HHI=89); top vendor 'ZILLA NIRMITi KENDRA' handles 94% of spend. | 83% of completed works have no geo/photo evidence uploaded. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 93% of completed works are billed in suspiciously round figures. | The exact same rupee amount appears on 15 separate completed works. | 177% of expenditure is still an unpaid balance to vendors.,Ask for itemised cost estimates/bills rather than lump-sum round amounts. | Check for templated/cookie-cutter billing rather than work-specific costing. | Check whether the dominant vendor was selected through fair/competitive process across multiple works. | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Request site photographs / geo-tagged images for works missing visual evidence. | Verify that advance/interim payments correspond to actual physical progress on site.
TANUJ PUNIA,BARABANKI,Uttar Pradesh,Lok Sabha,148198170.11,123462716.0,83397272.0,83.31,13,33,39.39,40065444.0,30,30,0,,4.0,30.0,83397272.0,Praharsh Infrastructure,92.06,84.98,0.0,0.0,4.0,13.0,2.364319859723732,3.0,76.92,100.0,0.0,3.0,1.0,0.0,43.92,48.04167215445608,78,54.4,95.1,78.8,High,Funds utilization (83%) is far ahead of physical completion (39%) — a gap of 44 points. | Vendor concentration is high (HHI=85); top vendor 'Praharsh Infrastructure' handles 92% of spend. | 77% of completed works have no geo/photo evidence uploaded. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 3 completed works cost far above the average for their work category (statistical outliers). | 48% of expenditure is still an unpaid balance to vendors.,Check whether the dominant vendor was selected through fair/competitive process across multiple works. | Compare quoted cost of outlier works with category benchmark / schedule of rates (SOR). | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Request site photographs / geo-tagged images for works missing visual evidence. | Verify that advance/interim payments correspond to actual physical progress on site.
DULU MAHATO,DHANBAD,Jharkhand,Lok Sabha,147000000.0,145710045.0,58175255.0,99.12,57,417,13.67,87534790.0,312,272,40,,5.0,312.0,58175255.0,BIRENDRA KUMAR MAHATO,75.97,60.27,58.65,12.82,36.0,57.0,-0.1625792923531976,0.0,0.0,100.0,96.49,1.0,35.0,12.82051282051282,85.45,150.46739373982976,72,65.0,87.8,78.7,High,Funds utilization (99%) is far ahead of physical completion (14%) — a gap of 85 points. | Vendor concentration is high (HHI=60); top vendor 'BIRENDRA KUMAR MAHATO' handles 76% of spend. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 96% of completed works are billed in suspiciously round figures. | The exact same rupee amount appears on 35 separate completed works. | 150% of expenditure is still an unpaid balance to vendors.,Ask for itemised cost estimates/bills rather than lump-sum round amounts. | Check for templated/cookie-cutter billing rather than work-specific costing. | Check whether the dominant vendor was selected through fair/competitive process across multiple works. | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
Shri Jairam Ramesh (2022-28),Sitting Rajya Sabha,Karnataka,Rajya Sabha,220563957.11,160447985.0,73553485.0,72.74,18,127,14.17,86894500.0,79,78,1,,4.0,79.0,73553485.0,KRIDL BHUSIRI ACCOUNT WORKS,84.92,73.87,63.29,1.27,20.0,18.0,1.2260069240456863,4.0,0.0,100.0,88.89,1.0,2.0,1.2658227848101267,58.56999999999999,118.13784214303374,76,51.3,92.7,76.1,High,Funds utilization (73%) is far ahead of physical completion (14%) — a gap of 59 points. | Vendor concentration is high (HHI=74); top vendor 'KRIDL BHUSIRI ACCOUNT WORKS' handles 85% of spend. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 89% of completed works are billed in suspiciously round figures. | 4 completed works cost far above the average for their work category (statistical outliers). | 118% of expenditure is still an unpaid balance to vendors.,Ask for itemised cost estimates/bills rather than lump-sum round amounts. | Check whether the dominant vendor was selected through fair/competitive process across multiple works. | Compare quoted cost of outlier works with category benchmark / schedule of rates (SOR). | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
Ram Shiromani,SHRAWASTI,Uttar Pradesh,Lok Sabha,151746878.11,90062310.0,16300060.0,59.35,0,1357,0.0,73762250.0,58,3,55,,4.0,58.0,16300060.0,NAVEEN ENTERPRISES,79.07,64.3,0.0,94.83,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.82758620689656,59.35,452.5274753589864,60,80.5,73.2,76.1,High,Funds utilization (59%) is far ahead of physical completion (0%) — a gap of 59 points. | Vendor concentration is high (HHI=64); top vendor 'NAVEEN ENTERPRISES' handles 79% of spend. | 95% of payment transactions are still pending. | 453% of expenditure is still an unpaid balance to vendors.,Check whether the dominant vendor was selected through fair/competitive process across multiple works. | Confirm vendor payment schedule and reasons for outstanding dues. | Review pending-payment vendor invoices for delay reasons and documentation completeness. | Verify that advance/interim payments correspond to actual physical progress on site.
H.D. KUMARASWAMY,MANDYA,Karnataka,Lok Sabha,147000000.0,95500000.0,46075000.0,64.97,7,147,4.76,49425000.0,130,117,13,,3.0,130.0,46075000.0,PROJECT MANAGER NIRMITHI KENDRA MANDYA,82.91,70.47,25.38,10.0,23.0,7.0,-0.04316412265008344,0.0,0.0,100.0,100.0,1.0,7.0,10.0,60.21,107.27075420510037,72,55.8,87.8,75.0,High,Funds utilization (65%) is far ahead of physical completion (5%) — a gap of 60 points. | Vendor concentration is high (HHI=70); top vendor 'PROJECT MANAGER NIRMITHI KENDRA MANDYA' handles 83% of spend. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 100% of completed works are billed in suspiciously round figures. | The exact same rupee amount appears on 7 separate completed works. | 107% of expenditure is still an unpaid balance to vendors.,Ask for itemised cost estimates/bills rather than lump-sum round amounts. | Check for templated/cookie-cutter billing rather than work-specific costing. | Check whether the dominant vendor was selected through fair/competitive process across multiple works. | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR,Punjab,Lok Sabha,147000000.0,115689409.0,75842759.0,78.7,97,286,33.92,39846650.0,1276,1254,22,,416.0,1276.0,75842759.0,Varinder Kumar Sood,6.04,1.33,5.25,1.72,262.0,97.0,-0.19548070518584718,2.0,52.58,100.0,62.89,14.0,32.0,1.7241379310344827,44.78,52.538502719817984,74,49.5,90.2,73.9,High,Funds utilization (79%) is far ahead of physical completion (34%) — a gap of 45 points. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 63% of completed works are billed in suspiciously round figures. | 2 completed works cost far above the average for their work category (statistical outliers). | The same work description text is reused 14 times. | The exact same rupee amount appears on 32 separate completed works. | 53% of expenditure is still an unpaid balance to vendors.,Ask for itemised cost estimates/bills rather than lump-sum round amounts. | Check for templated/cookie-cutter billing rather than work-specific costing. | Compare quoted cost of outlier works with category benchmark / schedule of rates (SOR). | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site. | Verify these are genuinely distinct works and not duplicate/split entries.
RAJESH RANJAN ALIAS PAPPU YADAV,PURNEA,Bihar,Lok Sabha,147000000.0,145247018.0,72622818.0,98.81,46,171,26.9,72624200.0,76,76,0,,7.0,76.0,72622818.0,R K Construction,50.33,32.33,55.26,0.0,9.0,46.0,0.48393204983303706,3.0,91.3,100.0,91.3,1.0,39.0,0.0,71.91,100.00190298316434,76,44.4,92.7,73.4,High,Funds utilization (99%) is far ahead of physical completion (27%) — a gap of 72 points. | 91% of completed works have no geo/photo evidence uploaded. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 91% of completed works are billed in suspiciously round figures. | 3 completed works cost far above the average for their work category (statistical outliers). | The exact same rupee amount appears on 39 separate completed works. | 100% of expenditure is still an unpaid balance to vendors.,Ask for itemised cost estimates/bills rather than lump-sum round amounts. | Check for templated/cookie-cutter billing rather than work-specific costing. | Compare quoted cost of outlier works with category benchmark / schedule of rates (SOR). | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Request site photographs / geo-tagged images for works missing visual evidence. | Verify that advance/interim payments correspond to actual physical progress on site.
ADHIKARI SOUMENDU,KANTHI,West Bengal,Lok Sabha,147000000.0,95934382.0,38304241.0,65.26,29,70,41.43,57630141.0,31,31,0,,2.0,31.0,38304241.0,GLOSIA ENERGY INDIA PRIVATE LIMITED,79.7,67.64,0.0,0.0,9.0,29.0,0.6864907231138848,3.0,100.0,100.0,0.0,6.0,8.0,0.0,23.830000000000005,150.45368213927017,74,46.5,90.2,72.7,High,Vendor concentration is high (HHI=68); top vendor 'GLOSIA ENERGY INDIA PRIVATE LIMITED' handles 80% of spend. | 100% of completed works have no geo/photo evidence uploaded. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 3 completed works cost far above the average for their work category (statistical outliers). | The same work description text is reused 6 times. | The exact same rupee amount appears on 8 separate completed works. | 150% of expenditure is still an unpaid balance to vendors.,Check for templated/cookie-cutter billing rather than work-specific costing. | Check whether the dominant vendor was selected through fair/competitive process across multiple works. | Compare quoted cost of outlier works with category benchmark / schedule of rates (SOR). | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Request site photographs / geo-tagged images for works missing visual evidence. | Verify these are genuinely distinct works and not duplicate/split entries.
Annpurna Devi,KODARMA,Jharkhand,Lok Sabha,166665931.8,120671517.0,42079828.0,72.4,85,392,21.68,78591689.0,146,137,9,,5.0,146.0,42079828.0,EXECUTIVE ENGINER NREP GIRIDIH,54.21,42.73,48.63,6.16,38.0,85.0,-0.2569688277854238,0.0,61.18,100.0,54.12,1.0,24.0,6.164383561643835,50.720000000000006,186.76808517373217,82,31.5,100.0,72.6,High,Funds utilization (72%) is far ahead of physical completion (22%) — a gap of 51 points. | Vendor concentration is high (HHI=43); top vendor 'EXECUTIVE ENGINER NREP GIRIDIH' handles 54% of spend. | 61% of completed works have no geo/photo evidence uploaded. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 54% of completed works are billed in suspiciously round figures. | The exact same rupee amount appears on 24 separate completed works. | 187% of expenditure is still an unpaid balance to vendors.,Ask for itemised cost estimates/bills rather than lump-sum round amounts. | Check for templated/cookie-cutter billing rather than work-specific costing. | Check whether the dominant vendor was selected through fair/competitive process across multiple works. | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Request site photographs / geo-tagged images for works missing visual evidence. | Verify that advance/interim payments correspond to actual physical progress on site.
