MP Name,Constituency,State,House,num_vendors,num_transactions,total_expenditure_ledger,top_vendor,top_vendor_share_pct,vendor_hhi,round_amount_txn_pct,payment_inprogress_pct,same_day_same_vendor_clusters
AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,Maharashtra,Lok Sabha,25,68,67522042.0,SAIBABA STONE CRUSHER AND CONSTRUCTION,30.6,12.96,0.0,0.0,11
ABDUL RASHID SHEIKH,BARAMULLAH,Jammu And Kashmir,Lok Sabha,38,70,27714021.0,MADIHA TRADERS,12.89,6.65,10.0,4.29,11
ABHAY KUMAR SINHA,AURANGABAD,Bihar,Lok Sabha,11,159,73566109.0,LITTLE GENIUS AGENCIES,27.14,19.4,25.16,0.0,12
ABHIJIT GANGOPADHYAY,TAMLUK,West Bengal,Lok Sabha,85,128,41397394.78,MANDAL ENTERPRISE,6.39,1.83,3.12,4.69,8
ADHIKARI SOUMENDU,KANTHI,West Bengal,Lok Sabha,2,31,38304241.0,GLOSIA ENERGY INDIA PRIVATE LIMITED,79.7,67.64,0.0,0.0,9
ADITYA YADAV,BADAUN,Uttar Pradesh,Lok Sabha,9,207,90991162.0,Jagdish Narayan,31.36,19.31,0.0,10.14,40
ADV GOWAAL KAGADA PADAVI,NANDURBAR,Maharashtra,Lok Sabha,3,189,32041066.0,SWAMI POWERTECH,57.67,43.17,0.0,0.0,9
ADV K FRANCIS GEORGE,KOTTAYAM,Kerala,Lok Sabha,52,82,37467974.0,TATA MOTORS,11.77,4.03,6.1,2.44,7
AFZAL ANSARI,GHAZIPUR,Uttar Pradesh,Lok Sabha,35,286,107091112.0,SHYAM SOLAR TRADING,41.77,20.64,1.05,0.35,34
AGA SYED RUHULLAH MEHDI,SRINAGAR,Jammu And Kashmir,Lok Sabha,51,80,20822671.0,Alyas ahmad mir,12.86,4.17,5.0,18.75,8
AJENDRA SINGH LODHI,HAMIRPUR,Uttar Pradesh,Lok Sabha,19,104,48355823.0,KUNAL TRADERS,25.26,14.64,0.0,15.38,16
